Mod:Item:MetaData, Localized Name
mwc:m40a6gripplaceholder, item.mwc_M40A6GripPlaceholder.name
mwc:laserplaceholder, item.mwc_LaserPlaceholder.name
mwc:m4handguard, M4 Handguard
mwc:ar57handguard, AR-57 Handguard
mwc:ntw20guard, NTW-20 Handguard
mwc:m16handguard, M16 Handguard
mwc:m16a1handguard, M16A1 Handguard
mwc:m4carbinehandguard, M4 Carbine Handguard
mwc:m16a4handguard, M16A4 Quad-Rail Handguard
mwc:m110handguard, M110 Handguard
mwc:z10handguard, Zbroyar Z10 Handguard
mwc:ar10supersasshandguard, AR10 Super SASS Handguard
mwc:s710handguard, S7-10 Handguard
mwc:sigmcxhandguard, SIG MCX Handguard
mwc:sigmcxhandguardshort, Long SIG MCX Handguard
mwc:mpxhandguard, SIG MPX Handguard
mwc:mpxhandguardextended, SIG MPX Extended Handguard
mwc:mpxhandguardrailed, SIG MPX Handguard
mwc:k2c1handguard, K2C1 Handguard
mwc:heraarmsgrip, Hera Arms Grip
mwc:m4grip, M4 Grip
mwc:m4griptan, M4 Grip (Tan)
mwc:socom_grip, SOCOM Grip
mwc:m4gripgray, M4 Grip (Gray)
mwc:hk416grip, HK-416 Grip
mwc:hk416griptan, HK-416 Grip (Tan)
mwc:m110grip, M110 Grip
mwc:s710tricungrip, S7-10 Tricun Grip
mwc:k2c1grip, K2C1 Grip
mwc:ak47grip, AK-47 Grip
mwc:ak101grip, AK-101 Grip
mwc:akergogrip, AK Ergo Grip
mwc:akergogripgreen, AK Ergo Grip (Olive)
mwc:akergogriptan, AK Ergo Grip (Tan)
mwc:ak12grip, AK-12 Prototype Grip
mwc:ak12ergogrip, AK-12 Ergo Grip
mwc:honeybadgerstock, AAC Honey Badger Stock
mwc:honeybadgerstockblack, AAC Honey Badger Stock (Black)
mwc:g3stock, G3 Stock
mwc:mp7stock, MP7 Stock
mwc:mp7milspecstock, MP7 Mil-Spec Stock
mwc:ak47stock, AK-47 Stock
mwc:dragunovgripstock, SVD Dragunov Stock
mwc:dragunov98stock, SVD Dragunov-98 Stock
mwc:rpkstock, RPK Stock
mwc:ak101stock, AK-101 Stock
mwc:ak74stock, AK-74 Stock
mwc:ak12stock, AK-12 Prototype Stock
mwc:ak12zenitcostock, AK-12 Zenitco Stock
mwc:vssvintorezstock, VSS Vintorez Stock
mwc:asvalstock, AS Val Stock
mwc:vssvintorezmilspecstock, VSS Vintorez Mil-Spec Stock
mwc:collapsablemoestock, Collapsible MOE Stock
mwc:collapsablemoestockgreen, Collapsible MOE Stock (Olive)
mwc:magpulctrstock, Magpul CTR Stock
mwc:magpulctrstocktan, Magpul CTR Stock (Tan)
mwc:milspecstock, Mil-Spec Stock
mwc:cz805brenstock, CZ-805 Bren Stock
mwc:sigmcxstock, SIG MCX Stock
mwc:c8stock, item.mwc_C8Stock.name
mwc:milspecstocktan, Mil-Spec Stock (Tan)
mwc:heraarmsstock, Hera Arms Stock
mwc:hk416stock, HK416 Stock
mwc:socom_stock, item.mwc_SOCOM_Stock.name
mwc:m16stock, M16 Stock
mwc:hk416stocktan, HK416 Stock (Tan)
mwc:m110stock, M110 Stock
mwc:arprsprecisionstock, AR PRS Precision Stock
mwc:ak47handleguard, AK-47 Handguard
mwc:dragunovhandguard, SVD Dragunov Handguard
mwc:dragunov98handguard, SVD Dragunov-98 Handguard
mwc:ak101handguard, AK-101 Handguard
mwc:ak74handguard, AK-74 Handguard
mwc:akmagpulhandleguard, AK Magpul Handguard
mwc:akmagpulhandleguardtan, AK Magpul Handguard (Tan)
mwc:mlokhandguard, MLOK Handguard
mwc:mlokextendedhandguard, MLOK Extended Handguard
mwc:ak15handleguard, AK-15 Handguard
mwc:ak12kalhandguard, AK-12 Handguard
mwc:rpk16handguard, RPK-16 Handguard
mwc:ak12handguard, AK-12 Prototype Handguard
mwc:ak12bhandguard, AK-12B Handguard
mwc:kbp9a91handguard, KBP 9A-91 Handguard
mwc:kbp9a91compacthandguard, KBP 9A-91 Compact Handguard
mwc:kbp9a91kulatachandguard, KBP 9A-91 KulaTac Handguard
mwc:vssvintorezhandguard, VSS Vintorez Handguard
mwc:asvalhandguard, AS VAL Handguard
mwc:vssvintoreztrirailmount, VSS Vintorez Scope Mount
mwc:ak47dustcover, AK-47 Dust Cover
mwc:dragunovdustcover, SVD Dragunov Dust Cover
mwc:dragunov98dustcover, SVD Dragunov-98 Dust Cover
mwc:akmdustcover, AKM Dust Cover
mwc:ak101dustcover, AK-101 Dust Cover
mwc:veprdustcover, Vepr Dust Cover
mwc:ak15dustcover, AK-15 Dust Cover
mwc:ak12dustcover, AK-12 Prototype Dust Cover
mwc:ak12bdustcover, AK-12B Dust Cover
mwc:vssvintorezdustcover, VSS Vintorez Dust Cover
mwc:vssmdustcover, VSSM Dust Cover
mwc:fnfaldustcover, FN FAL Dust Cover
mwc:sa58dustcover, SA-58 Dust Cover
mwc:fnfalgrip, FN FAL Grip
mwc:fnfalstock, FN FAL Stock
mwc:fnfalhandguard, FN FAL Handguard
mwc:fnfalparahandguard, FN FAL PARA Handguard
mwc:m4frontsight, AR Front Iron Sight
mwc:m60frontsight, M60E4 Front Iron Sight
mwc:m38frontsight, M38 Front Sight
mwc:hk416frontsight, HK-416 Front Iron Sight
mwc:mbusfrontsight, MBUS Front Iron Sight
mwc:leupold, Leupold VX-6 CDS TMOA Rifle Scope
mwc:pso1, PSO-1 Scope
mwc:okp7, OKP-7 Sight
mwc:fmg9carryhandle, FMG-9 Carry Handle
mwc:reflex, 15 MOA Reflex Sight
mwc:bijiareflex, Bijia Reflex Sight
mwc:microreflex, Micro Reflex Sight
mwc:acog, Trigicon ACOG
mwc:specter, Elcan Specter SFOV4-A1 Sight
mwc:holographic2, EOTech EXPS3-0 (Tan)
mwc:holographicalt, EOTech 512 A65 Holographic (Black)
mwc:eotechhybrid2, EOTech Hybrid 2 Sight
mwc:vortexsight, Vortex UH-1 Holographic Sight
mwc:microt1, Micro-T1 Sight
mwc:aimpointcompm2, Aimpoint Comp M2 Sight
mwc:aimpointcompm5, Aimpoint Comp M5 Sight
mwc:rmrsight, RMR Sight
mwc:kobra, 8-18 Kobra Sight
mwc:kobragen3, Kobra Gen-3 Sight
mwc:kobramount, Mounted 8-18 Kobra Sight
mwc:hpscope, JPU HP 3-9x40 Scope
mwc:leupoldrailscope, Leupold VX-6 CDS TMOA Rifle Scope (w/ Rail)
mwc:nightraiderscope, Night Raider Scope
mwc:m2a1_sight, M2A1 Sight
mwc:f2000scope, FNPM 1.6x
mwc:m202scope, item.mwc_M202scope.name
mwc:augscope, AUG Scope
mwc:silencer556x45, 5.56x45mm NATO Silencer
mwc:silencer545x39, 5.45x39mm Silencer
mwc:silencer762x39, 7.62x39mm Silencer
mwc:m32barrel, M32 Extended Barrel
mwc:remington870pump, R870 Wood Pump
mwc:remington870magpulpump, R870 Magpul Pump
mwc:remington870policemagnumpump, R870 Police Magnum Pump
mwc:remington870fabdefensepump, R870 FAB Defense Pump
mwc:remington870stock, R870 Wood Stock
mwc:remington870policemagnumstock, R870 Police Magnum Stock
mwc:remington870milspecstock, R870 Mil-Spec Stock
mwc:remington870hk416stockstock, R870 HK-416 Stock
mwc:remington870sawedgrip, R870 Sawed Grip (Sawed Stock)
mwc:remington870barrel, R870 Barrel
mwc:remington870policemagnumbarrel, R870 Police Magnum Barrel
mwc:remington870sawedbarrel, R870 Sawed Barrel
mwc:ks23stock, KS23 Stock
mwc:ks23raptorgrip, KS-23 Grip
mwc:ks23mstock, KS23M Stock
mwc:ks23barrel, KS-23 Barrel
mwc:ks23extendedbarrel, KS-23 Extended Barrel
mwc:rpkbarrel, RPK Barrel
mwc:akiron, AK Front Sight
mwc:ak12iron, AK-12 Front Iron Sight
mwc:silencerpbs, PBS Silencer
mwc:silencer9mm, 9(x18/19)mm Silencer
mwc:samuraiedgesuppressor, Samurai Edge Silencer
mwc:silencer9x39mm, 9x39mm Silencer
mwc:kbp9a91suppressor, KBP 9A-91 Carbine Silencer
mwc:silencer45acp, .45 ACP Silencer
mwc:silencer_eabh, EABH Silencer
mwc:silencer762x54, 7.62x54mm Silencer
mwc:silencer762x51, 7.62x51mm NATO Silencer
mwc:silencer50bmg, .50 BMG Silencer
mwc:silencer556x39, 5.56x39mm Silencer
mwc:akmiron, Standard Iron Sight
mwc:tritiumrearsights, Tritium Rear Iron Sight
mwc:mbusrearsights, MBUS Rear Iron Sight
mwc:hk416rearsights, HK-416 Rear Iron Sight
mwc:fnfalrearsights, FN FAL Rear Iron Sight
mwc:m16a1rearsight, item.mwc_M16A1RearSight.name
mwc:k2c1rearsight, K2C1 Iron Sight
mwc:scorpionrearsight, Scorpion Rear Iron Sight
mwc:scorpionfrontsight, Scorpion Front Iron Sight
mwc:mp7ironsights, MP7 Iron Sight
mwc:mp7ironsightsstanding, MP7 Standing Iron Sight
mwc:kar98ksight, Karabiner Iron Sight
mwc:ak15ironsight, AK-15 Rear Iron Sight
mwc:ak12ironsight, AK-12 Rear Iron Sight
mwc:silencermp7, 4.6x30mm Silencer
mwc:silencer357, .357 Silencer
mwc:silencer57x38, 5.7x28mm Silencer
mwc:silencer12gauge, 12 Gauge Silencer
mwc:silencer300aacblackout, .300 AAC Blackout Silencer
mwc:honeybadgersilencer, AAC Honey Badger Silencer
mwc:silencer65x39, 6.5mm Silencer
mwc:laser, UTG Tactical Laser
mwc:laser2, LD19206-IR Tactical Laser
mwc:sccycpx2laser, CPX-2 Laser
mwc:danwessonlaser, D&W Laser
mwc:m1928grip, M1928 Grip
mwc:m1a1grip, M1A1 Grip
mwc:grip2, Grip
mwc:junogrip, Juno Grip
mwc:glock18cstock, G18C DRS-HS
mwc:vp70stock, VP-70 Stock
mwc:angledgrip, Angled Grip
mwc:stubbygrip, Stubby Grip
mwc:vgrip, Foregrip
mwc:bipod, Bipod
mwc:auggrip, AUG Grip
mwc:uspmatchcompensator, P12 Compensator
mwc:chainb, item.mwc_ChainB.name
mwc:chaina, item.mwc_ChainA.name
mwc:chain, item.mwc_Chain.name
mwc:g95ironsights, item.mwc_G95IronSights.name
mwc:g95uprightironsights, item.mwc_G95UprightIronSights.name
mwc:origin12action, item.mwc_Origin12Action.name
mwc:p90action, item.mwc_P90Action.name
mwc:m1carbineaction, item.mwc_M1CarbineAction.name
mwc:g11action, item.mwc_G11Action.name
mwc:augaction, item.mwc_AUGAction.name
mwc:mas21slide, item.mwc_MAS21Slide.name
mwc:mas21barrel, item.mwc_MAS21Barrel.name
mwc:mas21part, item.mwc_MAS21Part.name
mwc:m32main1b, item.mwc_M32Main1B.name
mwc:m134barrels, item.mwc_M134Barrels.name
mwc:browningauto5action, item.mwc_BrowningAuto5Action.name
mwc:m1garandaction, item.mwc_M1GarandAction.name
mwc:m1garandmag, item.mwc_M1GarandMag.name
mwc:m1897pump, item.mwc_M1897pump.name
mwc:super90pump, item.mwc_Super90Pump.name
mwc:pythonchamber, item.mwc_PythonChamber.name
mwc:revolverspeedloader, item.mwc_RevolverSpeedloader.name
mwc:revolverspeedloaderbullets, item.mwc_RevolverSpeedloaderBullets.name
mwc:magnumchamber, item.mwc_MagnumChamber.name
mwc:rhinochamber, item.mwc_RhinoChamber.name
mwc:acraction, item.mwc_ACRAction.name
mwc:m1014action, item.mwc_M1014Action.name
mwc:shotguninsertion, item.mwc_ShotgunInsertion.name
mwc:supernovapump, item.mwc_SupernovaPump.name
mwc:acrrails, item.mwc_ACRRails.name
mwc:rpg7rocket, item.mwc_RPG7rocket.name
mwc:m202rockets, item.mwc_m202rockets.name
mwc:glgrenade, item.mwc_GLgrenade.name
mwc:m79grenade, item.mwc_M79grenade.name
mwc:gl06cartridge, item.mwc_GL06Cartridge.name
mwc:m79cartridge, item.mwc_M79Cartridge.name
mwc:m32cartridge, item.mwc_M32Cartridge.name
mwc:m41amag, item.mwc_M41AMag.name
mwc:mp43edoublebarrel, item.mwc_MP43Edoublebarrel.name
mwc:hs12barrels, item.mwc_HS12Barrels.name
mwc:m1873action, item.mwc_M1873action.name
mwc:f2000action, item.mwc_F2000Action.name
mwc:g36caction, item.mwc_G36CAction.name
mwc:arx160action, item.mwc_ARX160Action.name
mwc:m1a1thompsonaction, item.mwc_M1A1ThompsonAction.name
mwc:kedraction, item.mwc_KedrAction.name
mwc:kedrstock, item.mwc_KedrStock.name
mwc:mp7grip, item.mwc_MP7Grip.name
mwc:m1928thompsonaction, item.mwc_M1928ThompsonAction.name
mwc:m1a1thompsonsight, item.mwc_M1A1ThompsonSight.name
mwc:m1928sight, item.mwc_M1928Sight.name
mwc:r870part, item.mwc_R870part.name
mwc:m82action, item.mwc_m82action.name
mwc:mp40action, item.mwc_MP40action.name
mwc:mp5boltaction, item.mwc_MP5boltaction.name
mwc:ump45action, item.mwc_UMP45action.name
mwc:mp5action, item.mwc_MP5action.name
mwc:mp7action, item.mwc_MP7action.name
mwc:g3bolt, item.mwc_G3Bolt.name
mwc:g3action, item.mwc_G3Action.name
mwc:mg42belt, item.mwc_mg42belt.name
mwc:mg42latch, item.mwc_mg42latch.name
mwc:mg34latch, item.mwc_mg34latch.name
mwc:m60belt, item.mwc_M60Belt.name
mwc:stonerhatch, item.mwc_StonerHATCH.name
mwc:stonerbelt, item.mwc_StonerBELT.name
mwc:johnsonlmgaction, item.mwc_JohnsonLMGACTION.name
mwc:johnsonrifleaction, item.mwc_JohnsonRifleAction.name
mwc:johnsonriflesight, item.mwc_JohnsonRifleSight.name
mwc:stripperclip, item.mwc_StripperClip.name
mwc:stripperclipbullets, item.mwc_StripperClipBullets.name
mwc:ntw20barrel, item.mwc_NTW20Barrel.name
mwc:ntw20action, item.mwc_NTW20Action.name
mwc:m60hatch, item.mwc_M60Hatch.name
mwc:m249belt, item.mwc_M249Belt.name
mwc:m249hatch, item.mwc_M249Hatch.name
mwc:m249action, item.mwc_M249Action.name
mwc:mg42action, item.mwc_mg42action.name
mwc:scaraction, item.mwc_ScarAction.name
mwc:scarhaction, item.mwc_ScarHAction.name
mwc:mk14ebraction, item.mwc_Mk14EBRaction.name
mwc:mk14ebrsight, item.mwc_Mk14EBRsight.name
mwc:m14dmrrail, item.mwc_M14DMRRail.name
mwc:stg44action, item.mwc_STG44action.name
mwc:stg44actioncover, item.mwc_STG44actioncover.name
mwc:g43gewehraction, item.mwc_G43GewehrAction.name
mwc:springfieldrearsight, item.mwc_SpringfieldRearSight.name
mwc:springfieldaction, item.mwc_SpringfieldAction.name
mwc:kar98kaction, item.mwc_Kar98Kaction.name
mwc:vp70slide, item.mwc_VP70slide.name
mwc:apsslide, item.mwc_APSslide.name
mwc:apshammer, item.mwc_APShammer.name
mwc:usp45hammer, item.mwc_USP45hammer.name
mwc:p226hammer, item.mwc_P226hammer.name
mwc:m9a1hammer, item.mwc_M9A1hammer.name
mwc:mp443hammer, item.mwc_MP443hammer.name
mwc:m712action, item.mwc_M712action.name
mwc:m45a1slide, item.mwc_M45A1slide.name
mwc:m17_slide, item.mwc_m17_slide.name
mwc:makarov_slide, item.mwc_Makarov_Slide.name
mwc:p12_slide, item.mwc_P12_Slide.name
mwc:browninghipowerslide, item.mwc_BrowningHiPowerSlide.name
mwc:vssvintorezaction, item.mwc_VSSVintorezAction.name
mwc:akaction, item.mwc_AKaction.name
mwc:dragunovaction, item.mwc_DragunovAction.name
mwc:malyukaction, item.mwc_Malyukaction.name
mwc:ak15action, item.mwc_AK15action.name
mwc:kbp9a91action, item.mwc_KBP9A91action.name
mwc:fnfalactionlever, item.mwc_FNFALActionLever.name
mwc:fnfalaction, item.mwc_FNFALAction.name
mwc:famasf1action, item.mwc_FamasF1Action.name
mwc:ak12action, item.mwc_AK12action.name
mwc:saiga12action, item.mwc_Saiga12action.name
mwc:saiga12sights, item.mwc_Saiga12sights.name
mwc:as50action, item.mwc_AS50Action.name
mwc:albert01r_slide, item.mwc_albert01R_slide.name
mwc:uziaction, item.mwc_UziAction.name
mwc:uzirelease, item.mwc_UziRelease.name
mwc:uziironsight, item.mwc_UziIronSight.name
mwc:p10frontsight, item.mwc_P10frontsight.name
mwc:m40a6boltaction, item.mwc_M40A6BoltAction.name
mwc:m40a6boltactionprime, item.mwc_M40A6BoltActionPrime.name
mwc:ssg08boltaction1, item.mwc_SSG08BoltAction1.name
mwc:ssg08, item.mwc_SSG08.name
mwc:remington700boltaction, item.mwc_Remington700BoltAction.name
mwc:remington700boltactionmain, item.mwc_Remington700BoltActionMain.name
mwc:sv98boltaction, item.mwc_SV98BoltAction.name
mwc:l96action, item.mwc_L96Action.name
mwc:lp115bolt2, item.mwc_LP115Bolt2.name
mwc:dsr1boltaction, item.mwc_DSR1BoltAction.name
mwc:dsr1boltactionmain, item.mwc_DSR1BoltActionMain.name
mwc:interventionboltaction, item.mwc_InterventionBoltAction.name
mwc:l115mag, item.mwc_L115Mag.name
mwc:m500a2pump, item.mwc_M500A2pump.name
mwc:hescspump, item.mwc_HESCSpump.name
mwc:ks23pump, item.mwc_KS23pump.name
mwc:kragaction1, item.mwc_KragAction1.name
mwc:kragaction2, item.mwc_KragAction2.name
mwc:kragchamber, item.mwc_KragChamber.name
mwc:shotgunshell, 12 Gauge Shotgun Shell
mwc:shotgunshelldouble, item.mwc_ShotgunShellDouble.name
mwc:shotgun4gauge, item.mwc_Shotgun4Gauge.name
mwc:bullet, item.mwc_Bullet.name
mwc:bulletsmall, item.mwc_BulletSmall.name
mwc:laserprojectile, item.mwc_LaserProjectile.name
mwc:ar15action, item.mwc_AR15Action.name
mwc:m4ejectoraction, item.mwc_M4EjectorAction.name
mwc:sig556action, item.mwc_SIG556Action.name
mwc:sigmcxaction, item.mwc_SIGMCXAction.name
mwc:m110ejectoraction, item.mwc_M110EjectorAction.name
mwc:beowulfaction, item.mwc_BeowulfAction.name
mwc:s710tricunactionpully, item.mwc_S710TricunActionPully.name
mwc:s710tricunactionejector, item.mwc_S710TricunActionEjector.name
mwc:k2c1action, item.mwc_K2C1Action.name
mwc:scorpionaction, item.mwc_ScorpionAction.name
mwc:apc9action, item.mwc_APC9Action.name
mwc:brenaction, item.mwc_BrenAction.name
mwc:m110action, item.mwc_M110Action.name
mwc:ar15iron, AR Carry Handle
mwc:extra, item.mwc_Extra.name
mwc:m4rail, item.mwc_M4Rail.name
mwc:m4asiimovrail, item.mwc_M4AsiimovRail.name
mwc:magnumrail, item.mwc_MagnumRail.name
mwc:railalt, item.mwc_RailAlt.name
mwc:aacrail, item.mwc_AACRail.name
mwc:m110rail, item.mwc_M110Rail.name
mwc:akpart, item.mwc_AKpart.name
mwc:akmuzzle, item.mwc_AKmuzzle.name
mwc:woodlandcamo, item.mwc_WoodlandCamo.name
mwc:pinkcamo, item.mwc_PinkCamo.name
mwc:arcticcamo, item.mwc_ArcticCamo.name
mwc:bluecamo, item.mwc_BlueCamo.name
mwc:unit01camo, item.mwc_Unit01Camo.name
mwc:bloodforestcamo, item.mwc_BloodForestCamo.name
mwc:diamondcamo, item.mwc_DiamondCamo.name
mwc:goldcamo, item.mwc_GoldCamo.name
mwc:oldiepinkcamo, item.mwc_oldiepinkcamo.name
mwc:grenade40mm, 40mm Grenade
mwc:m202rocket, M202 Rocket
mwc:rpg7_rocket, RPG-7 Rocket
mwc:energycase, EC 3rd.D Casing
mwc:plasmacapsule, Type-2 Plasma Capsule
mwc:bullet3006springfield, .30-06 Springfield Bullet
mwc:bullet8x58, 8x58mm Bullet
mwc:bullet792x33kurz, 7.92x33 Kurz Bullet
mwc:bullet50bmg, .50 BMG Bullet
mwc:bullet20x82mm, 20x82mm Bullet
mwc:bullet408ct, .408 Cheyenne Tactical Bullet
mwc:bullet308winchester, .308 Winchester Bullet
mwc:bullet792x57, 7.92x57mm Bullet
mwc:bullet762x54, 7.62x54mm Bullet
mwc:bullet762x51, 7.62x51mm Bullet
mwc:shotgun12gauge, 12 Gauge Shotgun Shell
mwc:shotgun4g, 4 Gauge Shotgun Shell
mwc:bullet762x35, 7.62x35mm Bullet
mwc:bullet765x21, 7.65x21mm Bullet
mwc:bullet762x39, 7.62x39mm Bullet
mwc:bullet556x45, 5.56x45mm NATO Bullet
mwc:bullet65, 6.5mm Bullet
mwc:bullet545x39, 5.45x39mm Bullet
mwc:bullet4570, .45-70 Government Bullet
mwc:bullet4440, 44-40 Winchester Bullet
mwc:bullet45acp, .45 ACP Bullet
mwc:bullet357, .357 Bullet
mwc:bullet44, .44 Magnum Bullet
mwc:bullet40sw, .40 S&W Bullet
mwc:bullet50ae, .50 AE Bullet
mwc:bullet50beowulf, .50 Beowulf Bullet
mwc:bullet500, .500 Magnum Bullet
mwc:bullet380acp, .380 ACP Bullet
mwc:bullet763x25, 7.63x25mm Bullet
mwc:bullet9x39mm, 9x39mm Bullet
mwc:bullet9x19mm, 9x19mm Bullet
mwc:bullet9x18mm, 9x18mm Bullet
mwc:bullet57x28mm, 5.7x28mm Bullet
mwc:bullet46x30mm, 4.6x30mm Bullet
mwc:bullet10mm, 10mm Bullet
mwc:bullet473x33mm, 4.73x33mm Bullet
mwc:fuelcell, (Chainsaw) Fuel Capsule
mwc:brenmag, 30rnd 7.62x51mm Bren Magazine
mwc:johnsonmag, 20rnd .30-06 Springfield Magazine
mwc:vectormag, 25rnd .45 ACP Vector Magazine
mwc:vectordrummag, 50rnd .45 ACP Vector Drum Magazine
mwc:m4a1mag_2, 30rnd 5.56x45mm NATO STANAG Magazine
mwc:ngswr_mag, 20rnd 6.5mm Magazine
mwc:famasf1mag, 30rnd 5.56x45mm NATO F1 Magazine
mwc:beowulfmag, 13rnd .50 Beowulf Magazine
mwc:aug9mmmag, 30rnd 9x19mm PARA Magazine
mwc:s710tricunmag, 30rnd 10mm Magazine
mwc:m134mag, 1000rnd 7.62x51mm Magazine
mwc:m60mag, 100rnd 7.62x51mm Magazine
mwc:m249mag, 100rnd 5.56x45mm NATO Magazine
mwc:stonermag, 100rnd 5.56x45mm Stoner Magazine
mwc:honeybadgermag_2, 30rnd 7.62x35mm AAC Magazine
mwc:m38mag_2, 30rnd 5.56x45mm NATO PMAG Magazine
mwc:socom_mag, 30rnd 5.56x45mm NATO SOCOM STANAG Magazine
mwc:hk417_mag, 20rnd 7.62x51mm 417 Magazine
mwc:c8mag, 30rnd 5.56x45mm NATO STANAG SFW Magazine
mwc:stanag50, 50rnd 5.56x45mm NATO STANAG Drum Magazine
mwc:stanag60, 60rnd 5.56x45mm NATO STANAG Drum Magazine
mwc:stanag100, 100rnd 5.56x45mm NATO STANAG Drum Magazine
mwc:g36cmag_2, 30rnd 5.56x45mm NATO HK Magazine
mwc:ak101mag_2, 30rnd 5.56x45mm Magazine
mwc:ak74mag, 30rnd 5.45x39mm AK-74 Magazine
mwc:ak74mag60, 60rnd 5.45x39mm 74 Magazine
mwc:ak60mag, 60rnd 5.56x45mm Magazine
mwc:ak15mag_2, 30rnd 7.62x39mm PMAG Magazine
mwc:ak12mag_2, 30rnd 5.45x39mm 12 Magazine
mwc:ak75mag545x39, 75rnd 5.45x39mm Drum Magazine
mwc:ak12mag, 31rnd 5.45x39mm Magazine
mwc:ak47pmagtan, 30rnd 7.62x39mm PMAG Magazine (Tan)
mwc:ak47mag, 30rnd 7.62x39mm Magazine
mwc:ak50mag, 50rnd 7.62x39mm Drum Magazine
mwc:ak75mag, 75rnd 7.62x39mm Drum Magazine
mwc:ak100mag, 100rnd 7.62x39mm Drum Magazine
mwc:dragunovmag, 10rnd 7.62x54mm SVD Magazine
mwc:saigamag_2, 5rnd 12G Magazine
mwc:origin12mag, 5rnd 12 Gauge Origin Magazine
mwc:origin12drummag, 20rnd 12 Gauge Drum Magazine
mwc:m9mag_2, 15rnd 9x19mm Magazine
mwc:fivesevenmag, 20rnd 5.7x28mm Five-Seven Magazine
mwc:samuraiedgemag, 15rnd .40 S&W Samurai Edge Magazine
mwc:sccycpx2mag, 10rnd 9x19mm CPX-2 Magazine
mwc:sccycpx2magext, 15rnd 9x19mm CPX-2 Magazine
mwc:deserteaglemag, .50 AE 7rnd Magazine
mwc:m9mag30, 30rnd 9x19mm Magazine
mwc:m9drummag, 65rnd 9x19mm Drum Magazine
mwc:mp443mag_2, 18rnd 9x19mm 443 Magazine
mwc:m45a1mag_2, 7rnd .45 ACP Magazine
mwc:m1911_44mag, 7rnd .44 1911 Magazine
mwc:m45a1mag14, 14rnd .45 ACP Magazine
mwc:m17mag, 17rnd 9x19mm SAUER Magazine
mwc:makarovmag, 8rnd 9x18 PM Magazine
mwc:usp45mag, 8rnd .45 ACP HK Magazine
mwc:hipowermag, 13rnd 9x19mm Magazine
mwc:frommerstopmag, 8rnd .380 ACP Magazine
mwc:apsmag_2, 20rnd 9x19mm Magazine (APS)
mwc:glockmag13, 13rnd 9x19mm Glock Magazine
mwc:glock18cmag_2, 20rnd 9x19mm Magazine
mwc:glockmag50, 50rnd 9x19mm Drum Magazine
mwc:as50mag_2, 10rnd .50 BMG Magazine (AS50)
mwc:m82mag_2, 10rnd .50 BMG NATO Magazine
mwc:ntw20mag, 3rnd 20x82mm Magazine
mwc:kbp9a91mag_2, 20rnd 9x39mm KBP Magazine
mwc:kedrmag_2, 20rnd 9x19mm Magazine (Kedr)
mwc:l96a1mag_2, 10rnd 7.62x54mm LAPUA Magazine
mwc:dsr1mag, 5rnd 7.62x51mm DSR-1 Magazine
mwc:dsr1magext, 10rnd 7.62x51mm DSR-1 Magazine
mwc:interventionmag, 7rnd .408 CT Magazine
mwc:m40a6mag_2, 7rnd .308 Winchester Magazine
mwc:r700mag, 5rnd 7.62x54mm M700 Magazine
mwc:r700mag10rnd, 10rnd 7.62x54mm M700 Magazine
mwc:ssg08mag, 8rnd .308 Winchester Magazine
mwc:m110mag_2, 10rnd 7.62x51mm NATO Magazine
mwc:z10mag, 10rnd 7.62x51mm NATO Z10 Magazine
mwc:m1928mag, 50rnd .45 ACP Magazine (M1928)
mwc:m1a1mag, 30rnd .45 ACP Magazine (M1A1)
mwc:m712mag_2, 20rnd 7.63x25mm Mauser Magazine
mwc:mg42mag_2, 50rnd 7.92x57mm MG Magazine
mwc:dp28mag, 47rnd 7.62x54mm Magazine
mwc:m1carbinemag, 15rnd .30 Carbine Magazine
mwc:fnfalmag, 20rnd 7.62x51mm Magazine
mwc:g3mag, 20rnd 7.62x51mm HK G3 Magazine
mwc:mk14ebrmag_2, 20rnd 7.62x51mm NATO EBR Magazine
mwc:m14drum50, 50rnd 7.62x51mm NATO EBR DRUM Magazine
mwc:mp40mag_2, 32rnd 9x19mm MP Magazine
mwc:mp5a5mag, 30rnd 9x19mm HK Magazine
mwc:hk50drum, 50rnd 9x19mm HK Drum Magazine
mwc:mp7mag, 40rnd 4.6x30mm Magazine
mwc:mp7mag20, 20rnd 4.6x30mm Magazine
mwc:ump45mag, 25rnd .45 ACP HK Magazine
mwc:ump9mag, 30rnd 9x19mm HK UMP Magazine
mwc:mpxmag, 30rnd 9x19mm MPX Magazine
mwc:apc9mag, 30rnd 9x19mm APC9 Magazine
mwc:scorpionmag, 30rnd 9x19mm EVO Magazine
mwc:p90mag, 50rnd 5.7x28mm Magazine
mwc:p90terminatormag, 65rnd 5.7x28mm Terminator Magazine
mwc:mac10mag, 30rnd .45 ACP Magazine
mwc:g11mag, 50rnd 4.73x33mm Magazine
mwc:scarhmag_2, 20rnd 7.62x51mm NATO CQC Magazine
mwc:scar40mag, 40rnd 7.62x51mm NATO CQC Magazine
mwc:scar60mag, 60rnd 7.62x51mm NATO CQC Drum Magazine
mwc:vssvintorezmag_2, 10rnd 9x39mm Magazine
mwc:asvalmag, 20rnd 9x39mm Magazine
mwc:stg44mag_2, 30rnd 7.92x33mm Magazine
mwc:g43_gewehr_mag, 10rnd 7.92x57mm Gewehr Magazine
mwc:sv98mag_2, 10rnd 7.62x54mm Izhmash Magazine
